sampled_utc|timestamp|wan_name|metric_name|value
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:01|1777707541|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:02|1777707542|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:03|1777707543|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:39:04|1777707544|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:39:04|1777707544|spectrum|wanctl_arbitration_active_primary|1.0
